,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
21,,237900,"Equilibrium constants of the reactions of choline acetyltransferase, carnitine acetyltransferase, and acetylcholinesterase under physiological conditions.","<PubMedArticle 237900> Pieklik JR; Guynn RW. Equilibrium constants of the reactions of choline acetyltransferase, carnitine acetyltransferase, and acetylcholinesterase under physiological conditions.. J Biol Chem. 1975. 250(12):4445-50",1975,Pieklik JR; Guynn RW,J Biol Chem,250,12,4445-50,https://ncbi.nlm.nih.gov/pubmed/237900,"The observed equilibrium constant (Kobs) for the reaction of choline acetyltransferase (EC 2.3.1.6) has been determined under physiological conditions. Using sigma and square brackets to indicate total concentrations of all ionic species present: (see article). The value of Kobs has been determined to be 12.3 plus or minus 0.6 at 38 degrees, pH 7.0 and ionic strength 0.25 M. The value at 25 degrees is not significantly different, and the constant has been found to be insensitive to variations in ionic strength (0.03 to 0.375 M), pH (6.5 TO 7.5) OR FREE [Mg-2+] (0 to 5 mM). The Kobs of this reaction reflects the difference between the observed standard free energy change (delta G-oobs) for the hydrolysis of acetylcholine and the delta G-oobs for the hydrolysis of acetyl-CoA. Since the delta G-oobs for the hydrolysis of acetyl-CoA has been previously determined to be minus 8.54 kcal/mol (minus 35.75 kJ/mol under the same physiological conditions, the delta G-oobs for the reaction of acetylcholinesterase (EC 3.1.1.7): (SEE ARTICLE). Can be calculated to be minus 6.99 kcal/mol (minus 29.26 kJ/mol) at pH ionic strength 0.25 M and 38 degrees, taking the standard state of liquid water to have unit activity ([H2O] equals 1). The pKa for acetic acid under the same conditions, has been determined to be 4.60 plus or minus 0.01, allowing the Kobs for the pH-independent reaction (see article). To be calculated to be 3.28 times 10-2 M. Choline and carnitine are chemical analogues. The Kobs for the corresponding reaction of carnitine acetyltransferase (EC 2.3.1.7). (SEE ARTICLE). Under the same physiological conditions of pH (7.0), ionic strength (0.25 M), and temperature (38 degrees) has been determined to be 1.73 plus or minus 0.05, making the delta G-oobs for the hydrolysis of acetylcholine only 1.21 kcal/mol (5.06 kJ) less negative than that for the hydrolysis of acetylcarnitine.",75PIE/GUY,,75PIE/GUY_391
22,10.1016/0301-4622(75)80011-1,240453,Thermodynamics of hexokinase-catalyzed reactions.,<PubMedArticle 240453> Goldberg RN. Thermodynamics of hexokinase-catalyzed reactions.. Biophys Chem. 1975. 3(3):192-205,1975,Goldberg RN,Biophys Chem,3,3,192-205,https://ncbi.nlm.nih.gov/pubmed/240453,,75GOL,10.1016/0301-4622(75)80011-1,75GOL_549
23,,240851,"Purification, crystallization, and properties of D-ribose isomerase from Mycobacterium smegmatis.","<PubMedArticle 240851> Izumori K; Rees AW; Elbein AD. Purification, crystallization, and properties of D-ribose isomerase from Mycobacterium smegmatis.. J Biol Chem. 1975. 250(20):8085-7",1975,Izumori K; Rees AW; Elbein AD,J Biol Chem,250,20,8085-7,https://ncbi.nlm.nih.gov/pubmed/240851,"D-Ribose isomerase, which catalyzes the conversion of D-ribose to D-ribulose, was purified from extracts of Mycobacterium smegmatis grown on D-ribose. The purified enzyme crystalized as hexagonal plates from a 44% solution of ammonium sulfate. The enzyme was homogenous by disc gel electrophoresis and ultracentrifugal analysis. The molecular weight of the enzyme was between 145,000 and 174,000 by sedimentation equilibrium analysis. Its sedimentation constant of 8.7 S indicates it is globular. On the basis of sodium dodecyl sulfate gel electrophoresis in the presence of Mn2+, the enzyme is probably composed of 4 identical subunits of molecular weight about 42,000 to 44,000. The enzyme was specific for sugars having the same configuration as D-ribose at carbon atoms 1 to 3. Thus, the enzyme could also utilize L-lyxose, D-allose, and L-rhamnose as substrates. The Km for D-ribose was 4 mM and for L-lyxose it was 5.3 mM. The enzyme required a divalent cation for activity with optimum activity being shown with Mn2+. the Km for the various cations was as follows: Mn2+, 1 times 10(-7) M, Co2+, 4 times 10(-7) M, and Mg2+, 1.8 times 10(-5) M. The pH optimum for the enzyme was 7.5 to 8.5. Polyols did not inhibit the enzyme to any great extent. The product of the reaction was identified as D-ribulose by thin layer chromatography and by preparation of the O-nitrophenylhydrazone derivative.",75IZU/REE,,75IZU/REE_1376
24,,241184,[Microcalorimetric determination of thermochemical parameters of the phosphofructokinase reaction].,<PubMedArticle 241184> Böhme HJ; Schellenberger W; Hofmann E. [Microcalorimetric determination of thermochemical parameters of the phosphofructokinase reaction].. Acta Biol Med Ger. 1975. 34(1):15-20,1975,Böhme HJ; Schellenberger W; Hofmann E,Acta Biol Med Ger,34,1,15-20,https://ncbi.nlm.nih.gov/pubmed/241184,"A calorimetric procedure for determining deltaH, deltaG, deltaS and Keq of a bimolecular reaction with two or more products is described. By using this method the thermodynamic parameters of the phosphofructokinase reaction are determined. At pH 7.0 and 25 degrees C a reaction enthalpy of-6.96kcal/mole was found after correction for the neutralization enthalpy of the buffer and of the enthalpy difference of the magnesium complexes of ATP and ADP, respectively. The free energy of the phosphofructokinase reaction has been found under these conditions to be -3.96kcal/mole.",75BOH/SCH,,75BOH/SCH_552
25,,241749,Ethanolaminephosphate cytidylyltransferase. Purification and characterization of the enzyme from rat liver.,<PubMedArticle 241749> Sundler R. Ethanolaminephosphate cytidylyltransferase. Purification and characterization of the enzyme from rat liver.. J Biol Chem. 1975. 250(22):8585-90,1975,Sundler R,J Biol Chem,250,22,8585-90,https://ncbi.nlm.nih.gov/pubmed/241749,"Ethanolaminephosphate cytidylyltransferase (EC 2.7.7.14), which catalyzes a central step in phosphatidylethanolamine synthesis, has been purified 1000-fold from a postmicrosomal supernatant from rat liver. The enzyme, which requires a reducing agent, like dithiothreitol, for activity, is stable for weeks at 0-4 degrees when stored in the presence of dithiothreitol and in the pH range 7.5 to 9.0. A molecular weight of 100 to 120 X 10(3) was estimated by gel chromatography on Sephadex G-200. Gel electrophoresis in the presence of sodium dodecyl sulfate gave only one protein band with an apparent molecular weight of 49 to 50 X 10(3). The reaction catalyzed by the enzyme is reversible with a Keq for the forward reaction of 0.46 under the assay conditions. Michaelis constants of 53 and 65 muM were determined for CTP and ethanolaminephosphate, respectively. From the product inhibition pattern an ordered sequential reaction mechanism is proposed, in which CTP is the first substrate to add to the enzyme and CDP-ethanolamine is the last product to be released. The possible role of this reaction in the regulation of phosphatidylethanolamine synthesis in liver is discussed.",75SUN,,75SUN_700
26,10.1021/bi00579a006,375973,Interaction of phosphate analogues with glyceraldehyde-3-phosphate dehydrogenase.,<PubMedArticle 375973> Byers LD; She HS; Alayoff A. Interaction of phosphate analogues with glyceraldehyde-3-phosphate dehydrogenase.. Biochemistry. 1979. 18(12):2471-80,1979,Byers LD; She HS; Alayoff A,Biochemistry,18,12,2471-80,https://ncbi.nlm.nih.gov/pubmed/375973,"The glycolytic enzyme glyceraldehyde-3-phosphate dehydrogenase catalyzes the oxidative phosphorylation of D-glyceraldehyde 3-phosphate. A variety of phosphonates have been shown to substitute for phosphate in this reaction [Gardner, J. H., & Byers, L. D., (1977) J. Biol. Chem. 252, 5925--5927]. The dependence of the logarithm of the equilibrium constant for the reaction on the pKa2 value of the phosphonate is characterized by a Brłnsted coefficient, betaeq, of approximately 1. This represents the sensitivity of the transfer of the phosphoglyceroyl group between the active-site sulfhydryl residue (in the acyl-enzyme intermediate) and the acyl acceptor on the basicity of the acyl acceptor. Molybdate (MoO42-) can also serve as an acyl acceptor in the glyceraldehyde-3-phosphate dehydrogenase catalyzed reaction. The second-order rate constant for the reaction with molybdate is only approximately 12 times lower than the reaction with phosphate even though the pKa2 of molybdate is 3.1 units lower than the pKa2 of phosphate. The immediate product of the molybdate reaction is the acyl molybdate, 1-molybdo-3-phosphoglycerate. The acyl molybdate, like the acyl arsenate (the immediate product of the reaction when arsenate is the acyl acceptor), is kinetically unstable. At pH 7.3 (25 degrees C), the half-life for hydrolysis of the acyl molybdate, or the acyl arsenate, is less than 2.5 s. Thus, hydrolysis of 1-molybdo- and 1-arseno-3-phosphoglycerate is at least 2000 times faster than hydrolysis of 1,3-diphosphoglycerate under the same conditions. Glyceraldehyde-3-phosphate dehydrogenase has a fairly broad specificity for acyl acceptors. Most tetrahedral oxy anions tested are substrates for the enzyme (except SO4(2-) and SeO4(2-)). Tetrahedral monoanions such as ReO4- and GeO(OH)3- are not substrates but do bind to the enzyme. These results suggest the requirement of at least one anionic site on the acyl acceptor required for binding and another anionic group on the acyl receptor required for nucleophilic attack on the acyl enzyme.",79BYE/SHE,10.1021/bi00579a006,79BYE/SHE_255
27,,429312,"31P NMR studies of enzyme-bound substrates of rabbit muscle pyruvate kinase. Equilibrium constants, exchange rates, and NMR parameters.","<PubMedArticle 429312> Nageswara Rao BD; Kayne FJ; Cohn M. 31P NMR studies of enzyme-bound substrates of rabbit muscle pyruvate kinase. Equilibrium constants, exchange rates, and NMR parameters.. J Biol Chem. 1979. 254(8):2689-96",1979,Nageswara Rao BD; Kayne FJ; Cohn M,J Biol Chem,254,8,2689-96,https://ncbi.nlm.nih.gov/pubmed/429312,,79RAO/KAY,,79RAO/KAY_566
28,,447732,Effects of free magnesium concentration and ionic strength on equilibrium constants for the glyceraldehyde phosphate dehydrogenase and phosphoglycerate kinase reactions.,<PubMedArticle 447732> Cornell NW; Leadbetter M; Veech RL. Effects of free magnesium concentration and ionic strength on equilibrium constants for the glyceraldehyde phosphate dehydrogenase and phosphoglycerate kinase reactions.. J Biol Chem. 1979. 254(14):6522-7,1979,Cornell NW; Leadbetter M; Veech RL,J Biol Chem,254,14,6522-7,https://ncbi.nlm.nih.gov/pubmed/447732,,79COR/LEA,,79COR/LEA_586
29,10.1016/0003-9861(79)90327-8,475389,"Malate dehydrogenase. Kinetic studies with meso-tartrate and 2-keto-3-hydroxysuccinate, comparison of the mitochondrial and supernatant pig heart enzymes.","<PubMedArticle 475389> Kimball DF; Peterson L; McLoughlin DJ; Wolfe RG. Malate dehydrogenase. Kinetic studies with meso-tartrate and 2-keto-3-hydroxysuccinate, comparison of the mitochondrial and supernatant pig heart enzymes.. Arch Biochem Biophys. 1979. 195(1):66-73",1979,Kimball DF; Peterson L; McLoughlin DJ; Wolfe RG,Arch Biochem Biophys,195,1,66-73,https://ncbi.nlm.nih.gov/pubmed/475389,,79KIM/PET,10.1016/0003-9861(79)90327-8,79KIM/PET_143
30,,500017,Thermodynamic studies of the lactate dehydrogenase catalytic reaction.,<PubMedArticle 500017> Schmid FX; Hinz HJ. Thermodynamic studies of the lactate dehydrogenase catalytic reaction.. Hoppe Seylers Z Physiol Chem. 1979. 360(10):1501-4,1979,Schmid FX; Hinz HJ,Hoppe Seylers Z Physiol Chem,360,10,1501-4,https://ncbi.nlm.nih.gov/pubmed/500017,,79SCH/HIN,,79SCH/HIN_108
31,10.1515/bchm2.1979.360.2.1693,527937,"Nicotinic acid metabolism. 2,3-Dimethylmalate lyase.","<PubMedArticle 527937> Pirzer P; Lill U; Eggerer H. Nicotinic acid metabolism. 2,3-Dimethylmalate lyase.. Hoppe Seylers Z Physiol Chem. 1979. 360(12):1693-702",1979,Pirzer P; Lill U; Eggerer H,Hoppe Seylers Z Physiol Chem,360,12,1693-702,https://ncbi.nlm.nih.gov/pubmed/527937,"1) A new enzyme, 2,3-dimethylmalate lyase, was purified from Clostridium barkeri to about 80% homogeneity. Some of the properties of the enzyme are described. 2) It is shown that the 2,3-dimethylmalic acid (m.p. 143 degrees C) described in the literature represents only one racemic pair. This pair is not attacked by 2,3-dimethylmalate lyase. 3) The isolation of both racemic pairs of 2,3-dimethylmalic acid is described. Half of one pair, m.p. 104-106 degrees C, was converted to propionate and pyruvate by 2,3-dimethylmalate lyase. 4) In combination with earlier work performed by E.R. Stadtman and coworkers the results given under points 1--3 establish 2,3-dimethylmalate as an intermediate in the degradation of nicotinic acid by C. barkeri. 5) Experimental evidence indicates the 2,3-dimethylmalate lyase is no acyl-S-enzyme and that it is different in this respect as well as in quaternary structure from the apparently related enzymes citrate lyase and citramalate lyase.",79PIR/LIL,10.1515/bchm2.1979.360.2.1693,79PIR/LIL_1137
32,10.1016/0301-4622(78)85013-3,623877,Thermodynamics of the glutamate dehydrogenase catalytic reaction.,<PubMedArticle 623877> Subramanian S. Thermodynamics of the glutamate dehydrogenase catalytic reaction.. Biophys Chem. 1978. 7(4):375-8,1978,Subramanian S,Biophys Chem,7,4,375-8,https://ncbi.nlm.nih.gov/pubmed/623877,The enthalpy change for the oxidative deamination of glutamate by NADP+ catalyzed by bovine liver glutamate dehydrogenase has been determined calorimetrically. The deltaH0 values are 64.6 +/- 1.2 kJ/mol and 70.3 +/- 1.2 kJ/mol at 25 and 35 degrees C respectively. The equilibrium constants for the reaction at the two temperatures were determined spectrophotometrically. This enabled the determination of deltaG0 and deltaS0 of the reaction as well. deltaH0 values were also determined for the reaction using an alternative coenzyme and the deuterated substrate.,78SUB,10.1016/0301-4622(78)85013-3,78SUB_285
33,10.1111/j.1432-1033.1978.tb12183.x,639798,Relationship between oxygen uptake of perifused rat-liver cells and the cytosolic phosphorylation state calculated from indicator metabolites and a redetermined equilibrium constant.,<PubMedArticle 639798> van der Meer R; Akerboom TP; Groen AK; Tager JM. Relationship between oxygen uptake of perifused rat-liver cells and the cytosolic phosphorylation state calculated from indicator metabolites and a redetermined equilibrium constant.. Eur J Biochem. 1978. 84(2):421-8,1978,van der Meer R; Akerboom TP; Groen AK; Tager JM,Eur J Biochem,84,2,421-8,https://ncbi.nlm.nih.gov/pubmed/639798,,78MEE/AKE,10.1111/j.1432-1033.1978.tb12183.x,78MEE/AKE_585
