Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,76.9, , , , , , ,0.00526 Mg2+ & 0.00526 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,74.9, , , , , , ,0.00534 Mg2+ & 0.00534 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,86.1, , , , , , ,0.00555 Mg2+ & 0.00555 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,84.8, , , , , , ,0.00558 Mg2+ & 0.00558 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.01,81.5, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.01,84.4, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.02,93, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.03,99.5, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.15,88.4, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.15,89.6, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.17,93.6, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.19,96.4, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.22,92.2, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.23,96.2, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.51,86.1, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7.53,88.6, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 pyrroline-5-carboxylate reductase, (S)-proline(aq) + NADP(aq) = Î”1-pyrroline-2-carboxylate(aq) + NADPH(aq),Pahlich E.; Jdger H.-J.; Kaschel E.; Z. Pflanzenphysiol.; 101 137 (1981).,81PAH/JAG_294,298.15,9.23,4.30E-05, , spectrophotometry, glycine + NaOH (0.15 mol dm-3), ," 1.5.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),Ramotar K.; Pickard M.A.; Can. J. Microbiol.; 27 1053 (1981).,81RAM/PIC_652,303.15,7.4,1.09, , radioactivity, Tris (0.075 mol dm-3) + HCl, ," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Rao B.D.N.; Cohn M.; J. Biol. Chem.; 256 1716 (1981).,81RAO/COH_600,277.15,7.8,0.08, , NMR, potassium Hepes (0.15 mol dm-3), ," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 D-xylulose reductase, xylitol(aq) + NAD(aq) = D-xylulose(aq) + NADH(aq),Sugai J.K.; Veiga L.A.; An. Acad. Brasil Cienc.; 53 183 (1981).,81SUG/VEI_53,298.15,9.5,0.06, , spectrophotometry, glycine (0.030 mol dm-3) + NaOH, ," 1.1.1.9                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
" GDP-D-mannose 3,5-epimerase", GDPmannose(aq) = GDP-L-galactose(aq),Barber G.A.; Hebda P.A.; Methods Enzymol.; 83 522 (1982).,82BAR/HEB_1277,310.15,8,0.52, , , Tris (0.04 mol dm-3) + HCl, ," 5.1.3.18                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),de Meis L.; Ann. N.Y. Acad. Sci.; 402 535 (1982).,82DEM_1064,293.15,7.8,126, , radioactivity, Tris + maleate (0.10 mol dm-3), ," 3.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,293.15,7.8,320, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,299.15,7.8,156, , , , , , ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,299.15,7.8,372, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,303.15,7.8,187, , , , , , ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,303.15,7.8,466, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,6,303, , , , , , ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,6,520, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,6,949, , , , , , ,0.05 MgCl2 & 0.05 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,6,2660, , , , , , ,0.1 MgCl2 & 0.1 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,79, , , , , , ,0.0001 MgCl2 & 0.0001 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,125, , , , , , ,0.001 MgCl2 & 0.001 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,687, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,2060, , , , , , ,0.05 MgCl2 & 0.05 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,231, , , , , , ,0.063 MgCl2 & 0.063 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7,12400, , , , , , ,0.1 MgCl2 & 0.1 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7.8,235, , , , , , ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,308.15,7.8,572, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,313.15,7.8,294, , , , , , ,0.01 MgCl2 & 0.01 MgCl2, , , 
 inorganic pyrophosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq), , ,313.15,7.8,865, , , , , , ,0.025 MgCl2 & 0.025 MgCl2, , , 
 aminoacylase, N-acetyl-L-alanine(aq) + H2O(l) = acetate(aq) + L-alanine(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1019,298.15,7.5,5.6, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aminoacylase, N-acetyl-L-Î±-amino-n-butyrate(aq) + H2O(l) = acetate(aq) + L-Î±-amino-n-butyrate(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1021,298.15,7.5,5.5, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aminoacylase, N-acetyl-L-glycine(aq) + H2O(l) = acetate(aq) + glycine(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1022,298.15,7.5,4.5, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aminoacylase, N-acetyl-L-methionine(aq) + H2O(l) = acetate(aq) + L-methionine(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1024,298.15,7.5,3.7, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aminoacylase, N-acetyl-L-norleucine(aq) + H2O(l) = acetate(aq) + L-norleucine(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1028,298.15,7.5,12.5, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aminoacylase, N-acetyl-L-norvaline(aq) + H2O(l) = acetate(aq) + L-norvaline(aq),Galaev I.Yu.; Svedas V.K.; Biochim. Biophys. Acta; 701 389 (1982).,82GAL/SVE_1029,298.15,7.5,10.5, , spectrophotometry, phosphate (0.1 mol dm-3), ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),Guynn R.W.; Thames H.; Arch. Biochem. Biophys.; 215 514 (1982).,82GUY/THA_828,311.15,5.9,125, , spectrophotometry, , ," 3.1.3.3                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,5.99,122.3, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.47,76.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.49,68.6, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.52,70.4, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.53,74.2, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.89,55.1, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.89,55.1, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.89,56.5, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.89,58.4, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.91,57.7, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.91,59.4, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.91,59.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.92,59.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.95,52.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.95,57.2, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.95,57.2, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.95,57.2, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,50.6, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.12, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,54.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.12, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,54.9, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,56.1, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.41, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,58.9, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.41, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,53.9, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.56, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,57.5, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.56, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,55.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.71, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,58.2, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.71, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,55.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,1, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,6.98,58.9, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,1, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,47.4, , , , , , ,0.0067 MgCl2 & 0.0067 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,47.8, , , , , , ,0.0067 MgCl2 & 0.0067 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,47.8, , , , , , ,0.01 MgCl2 & 0.01 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,49.8, , , , , , ,0.01 MgCl2 & 0.01 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,49.8, , , , , , ,0.0133 MgCl2 & 0.0133 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,50, , , , , , ,0.0133 MgCl2 & 0.0133 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,50, , , , , , ,0.02 MgCl2 & 0.02 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,51.1, , , , , , ,0.02 MgCl2 & 0.02 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,47.4, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7,49.9, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7.36,49.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7.43,46.1, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7.66,45, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,7.73,46.8, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,8.02,47, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,8.12,48.3, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,8.13,49.4, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq), , ,311.15,8.16,51, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),Guynn R.W.; Arch. Biochem. Biophys.; 218 14 (1982).,82GUY_115,298.15,6.41,1.09E-06, , spectrophotometry, potassium phosphate (0.025 mol dm-3), ," 1.1.1.29                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.41,1.15E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.49,9.49E-07, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.96,3.36E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.96,3.72E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.97,4.13E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,3.77E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,3.82E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,3.84E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,4.11E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,4.19E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,4.22E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,5.44E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq), , ,298.15,6.98,5.53E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
